category,ranking,name,price,isprime,stock,delivery,ASIN
Amazonデバイス・アクセサリ,#1,Fire TV Stick - Alexa対応音声認識リモコン(第3世代)付属 | ストリーミングメディアプレーヤー,"￥4,980",0,1,-,-
Amazonデバイス・アクセサリ,#2,Fire TV Stick 4K - Alexa対応音声認識リモコン付属 | ストリーミングメディアプレーヤー,"￥6,980",0,1,-,-
Amazonデバイス・アクセサリ,#3,Amazon イーサネットアダプタ,"￥1,780",0,1,-,-
Amazonデバイス・アクセサリ,#4,【2020年発売 Fire TV Stick 第3世代用 】 延長保証プラン (2年),￥980,0,1,-,-
Amazonデバイス・アクセサリ,#5,Echo Show 5 (エコーショー5) スクリーン付きスマートスピーカー with Alexa、サンドストーン…,"￥19,960",0,1,-,B08F2XP41Q
Amazonデバイス・アクセサリ,#6,Fire TV Stick - Alexa対応音声認識リモコン付属 | ストリーミングメディアプレーヤー,-,0,0,-,-
Amazonデバイス・アクセサリ,#7,【Kindle Paperwhite (第10世代) 用 保護フィルム】 Digio2 液晶保護フィルム フッ素コーティン…,"￥1,350",0,1,-,-
Amazonデバイス・アクセサリ,#8,"【Fire HD 8, Fire HD 8 Plus用】 Digio2 液晶保護フィルム 高精細 反射防止 気泡レス加工 2枚入り","￥1,480",0,1,-,-
Amazonデバイス・アクセサリ,#9,Fire HD 10 タブレット ブラック (10インチHDディスプレイ) 64GB,"￥19,980",0,1,-,-
Amazonデバイス・アクセサリ,#10,Echo Dot (エコードット) 第4世代 - スマートスピーカー with Alexa、チャコール,"￥5,980",0,1,-,-
Amazonデバイス・アクセサリ,#11,Fire 7 タブレット (7インチディスプレイ) 16GB,"￥5,980",0,1,-,-
Amazonデバイス・アクセサリ,#12,Fire HD 8 タブレット ブラック (8インチHDディスプレイ) 32GB,"￥9,980",0,1,-,-
Amazonデバイス・アクセサリ,#13,Echo Show 5 (エコーショー5) スマートディスプレイ with Alexa、チャコール,"￥9,980",0,1,-,-
Amazonデバイス・アクセサリ,#14,Fire TV Stick 4K用 延長保証プラン (2年),"￥1,280",0,1,-,-
Amazonデバイス・アクセサリ,#15,Echo Dot (エコードット) 第4世代 - 時計付きスマートスピーカー with Alexa、グレーシャーホワ…,"￥6,980",0,1,-,-
Amazonデバイス・アクセサリ,#16,Kindle Paperwhite 防水機能搭載 wifi 8GB ブラック 電子書籍リーダー,"￥15,980",0,1,-,-
Amazonデバイス・アクセサリ,#17,Echo Dot (エコードット) 第4世代 - 時計付きスマートスピーカー with Alexa、トワイライトブルー,"￥6,980",0,1,-,-
Amazonデバイス・アクセサリ,#18,Alexa対応音声認識リモコン(第2世代) Fire TV Stick 4K、Fire TV Stick (第3世代)、Fire TV…,"￥2,980",0,0,-,-
Amazonデバイス・アクセサリ,#19,Alexa対応音声認識リモコン(2021年発売 第3世代) | 対応する別売りのFire TV本体が必要です,"￥2,980",0,1,-,-
Amazonデバイス・アクセサリ,#20,Echo Dot (エコードット)第3世代 - スマートスピーカー with Alexa、チャコール,"￥4,980",0,1,-,-
Amazonデバイス・アクセサリ,#21,Kindle Paperwhite 防水機能搭載 wifi 32GB ブラック 電子書籍リーダー,"￥17,980",0,1,-,-
Amazonデバイス・アクセサリ,#22,Echo Show 5 (エコーショー5) スマートディスプレイ with Alexa、サンドストーン,"￥9,980",0,1,-,-
Amazonデバイス・アクセサリ,#23,Alexa対応音声認識リモコン(第1世代) Fire TV全機種に対応,"￥2,980",0,1,-,-
Amazonデバイス・アクセサリ,#24,Amazon Kindle Paperwhite (第10世代) 用 ファブリックカバー チャコールブラック,"￥3,680",0,1,,-
Amazonデバイス・アクセサリ,#25,Kindle Paperwhite (第10世代)用 延長保証・事故保証プラン (2年・落下・水濡れ等の保証付き),"￥1,980",0,1,-,-
Amazonデバイス・アクセサリ,#26,Kindle Paperwhite 防水機能搭載 wifi 8GB ブラック 広告つき 電子書籍リーダー,"￥13,980",0,1,-,-
Amazonデバイス・アクセサリ,#27,"【Fire HD 8, Fire HD 8 Plus用】 Amazon純正 カバー (2020年発売 第10世代) チャコールブラック","￥3,480",0,1,,-
Amazonデバイス・アクセサリ,#28,"【Fire HD 8, Fire HD 8 Plus用】 延長保証・事故保証プラン (2年・落下・水濡れ等の保証付き)","￥1,980",0,1,-,-
Amazonデバイス・アクセサリ,#29,Fire HD 10 キッズモデル パープル (10 インチ HD ディスプレイ) 32GB + ドラえもんバッグ,"￥22,360",0,1,-,-
Amazonデバイス・アクセサリ,#30,【新型】Echo Show 10 (エコーショー10) 第3世代 - モーション機能付きスマートディスプレイ…,"￥29,980",0,0,-,-
Amazonデバイス・アクセサリ,#31,Fire HD 8 タブレット ホワイト (8インチHDディスプレイ) 32GB,"￥9,980",0,1,-,-
Amazonデバイス・アクセサリ,#32,Fire TV Stick,-,0,0,-,-
Amazonデバイス・アクセサリ,#33,【Echo Show 5 用】 Amazon純正 角度調節スタンド ホワイト,"￥1,980",0,1,-,-
Amazonデバイス・アクセサリ,#34,Fire HD 8 Plus タブレット スレート (8インチHDディスプレイ) 32GB,"￥11,980",0,1,-,-
Amazonデバイス・アクセサリ,#35,【新型】Echo Dot (エコードット) 第4世代 - スマートスピーカー with Alexa、グレーシャーホワ…,"￥5,980",0,1,-,-
Amazonデバイス・アクセサリ,#36,Fire HD 10 タブレット ホワイト (10インチHDディスプレイ) 64GB,"￥19,980",0,1,-,-
